"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"53",51.5,81.5,56.5,57.5,59.5,97.5,88.5,54.5,46.5,65.5,79.5,67.5,9.5,16.5
"54",19.5,45.5,103.5,241.5,42.5,22.5,19.5,30.5,72.5,35.5,30.5,61.5,54.5,23.5
"55",147.5,58.5,73.5,48.5,39.5,19.5,37.5,0.5,89.5,64.5,33.5,70.5,40.5,0.5
"56",52.5,48.5,0.5,71.5,32.5,56.5,48.5,18.5,39.5,0.5,10.5,36.5,31.5,9.5
"57",57.5,34.5,39.5,25.5,29.5,89.5,100.5,10.5,0.5,23.5,9.5,26.5,19.5,0.5
"58",187.5,228.5,218.5,183.5,209.5,224.5,139.5,72.5,109.5,334.5,147.5,131.5,31.5,53.5
"59",130.5,39.5,61.5,35.5,128.5,48.5,64.5,0.5,31.5,0.5,0.5,34.5,0.5,0.5
"60",226.5,160.5,96.5,36.5,101.5,203.5,271.5,48.5,79.5,13.5,58.5,65.5,144.5,39.5
"61",140.5,470.5,139.5,143.5,69.5,160.5,142.5,82.5,126.5,132.5,55.5,83.5,15.5,88.5
"62",95.5,17.5,37.5,132.5,29.5,183.5,0.5,0.5,14.5,6.5,0.5,0.5,0.5,97.5
"63",33.5,82.5,101.5,143.5,95.5,106.5,41.5,12.5,60.5,12.5,0.5,99.5,88.5,49.5
"64",343.5,330.5,110.5,94.5,50.5,46.5,173.5,50.5,28.5,0.5,71.5,19.5,0.5,16.5
"65",49.5,229.5,43.5,11.5,21.5,54.5,121.5,123.5,87.5,13.5,65.5,0.5,9.5,0.5
"66",274.5,511.5,133.5,24.5,73.5,117.5,126.5,85.5,144.5,46.5,0.5,29.5,1.5,36.5
"67",125.5,97.5,0.5,36.5,32.5,150.5,322.5,23.5,14.5,21.5,0.5,37.5,0.5,14.5
"68",54.5,20.5,0.5,50.5,98.5,47.5,21.5,0.5,43.5,34.5,18.5,30.5,0.5,34.5
"69",81.5,195.5,0.5,78.5,48.5,80.5,96.5,96.5,43.5,8.5,1.5,91.5,140.5,1.5
"70",498.5,182.5,91.5,88.5,117.5,138.5,246.5,21.5,90.5,55.5,0.5,112.5,0.5,20.5
"71",116.5,66.5,128.5,13.5,31.5,71.5,50.5,29.5,61.5,29.5,61.5,58.5,104.5,33.5
"72",101.5,103.5,81.5,75.5,203.5,233.5,182.5,17.5,57.5,54.5,47.5,37.5,17.5,14.5
"73",199.5,71.5,145.5,106.5,64.5,39.5,68.5,28.5,39.5,10.5,52.5,31.5,4.5,21.5
"74",42.5,43.5,40.5,43.5,71.5,52.5,41.5,14.5,61.5,41.5,62.5,69.5,49.5,48.5
"75",81.5,95.5,138.5,149.5,130.5,73.5,83.5,40.5,76.5,56.5,19.5,98.5,62.5,44.5
"76",74.5,21.5,34.5,91.5,79.5,168.5,102.5,38.5,65.5,22.5,10.5,36.5,15.5,0.5
"77",15.5,75.5,117.5,160.5,182.5,89.5,136.5,34.5,66.5,23.5,73.5,113.5,102.5,3.5
"78",62.5,120.5,92.5,81.5,232.5,112.5,181.5,32.5,29.5,40.5,129.5,248.5,117.5,162.5
"79",42.5,8.5,111.5,59.5,105.5,89.5,27.5,37.5,49.5,10.5,61.5,47.5,24.5,13.5
"80",67.5,20.5,117.5,69.5,72.5,90.5,50.5,22.5,159.5,121.5,9.5,23.5,34.5,24.5
"81",36.5,86.5,96.5,45.5,115.5,225.5,124.5,25.5,19.5,57.5,89.5,70.5,49.5,15.5
"82",0.5,24.5,185.5,312.5,275.5,120.5,32.5,23.5,11.5,11.5,9.5,33.5,16.5,37.5
"83",86.5,49.5,111.5,203.5,164.5,120.5,187.5,49.5,71.5,39.5,70.5,114.5,90.5,49.5
"84",74.5,210.5,212.5,73.5,138.5,122.5,170.5,53.5,75.5,30.5,80.5,63.5,81.5,48.5
"85",49.5,34.5,155.5,116.5,125.5,154.5,106.5,34.5,42.5,62.5,20.5,73.5,38.5,30.5
"86",52.5,35.5,48.5,158.5,181.5,61.5,249.5,66.5,32.5,46.5,60.5,44.5,91.5,25.5
"87",125.5,36.5,186.5,211.5,175.5,81.5,38.5,57.5,26.5,7.5,39.5,40.5,0.5,0.5
"88",8.5,90.5,72.5,215.5,43.5,66.5,99.5,0.5,0.5,28.5,7.5,0.5,0.5,0.5
