"","25 to 29 years","30 to 34 years","35 to 39 years","40 to 44 years","45 to 49 years","50 to 54 years","55 to 59 years","60 and 61 years","62 to 64 years","65 and 66 years","67 to 69 years","70 to 74 years","75 to 79 years","80 to 84 years"
"229",41.5,52.5,12.5,10.5,15.5,64.5,42.5,29.5,44.5,28.5,28.5,17.5,37.5,11.5
"230",179.5,75.5,49.5,79.5,72.5,80.5,185.5,25.5,40.5,38.5,95.5,100.5,13.5,0.5
"231",100.5,47.5,71.5,26.5,41.5,105.5,61.5,35.5,89.5,48.5,55.5,25.5,68.5,47.5
"232",37.5,41.5,69.5,91.5,96.5,43.5,68.5,50.5,102.5,24.5,25.5,57.5,42.5,34.5
"233",265.5,93.5,156.5,118.5,269.5,138.5,222.5,69.5,147.5,13.5,10.5,23.5,0.5,0.5
"234",147.5,268.5,168.5,105.5,67.5,323.5,117.5,73.5,180.5,15.5,120.5,115.5,147.5,45.5
"235",142.5,138.5,184.5,280.5,86.5,69.5,168.5,0.5,43.5,33.5,184.5,123.5,74.5,82.5
"236",102.5,184.5,9.5,18.5,50.5,78.5,66.5,26.5,40.5,46.5,41.5,36.5,10.5,35.5
"237",81.5,42.5,43.5,131.5,38.5,128.5,154.5,71.5,90.5,70.5,52.5,8.5,8.5,14.5
"238",84.5,155.5,80.5,70.5,69.5,28.5,127.5,56.5,0.5,22.5,9.5,0.5,31.5,0.5
"239",66.5,70.5,130.5,207.5,51.5,2.5,52.5,102.5,101.5,25.5,39.5,67.5,99.5,13.5
"240",85.5,120.5,112.5,74.5,88.5,88.5,110.5,68.5,66.5,34.5,0.5,2.5,48.5,54.5
"241",85.5,20.5,0.5,193.5,70.5,108.5,189.5,30.5,36.5,24.5,25.5,14.5,0.5,171.5
"242",9.5,66.5,40.5,188.5,48.5,163.5,26.5,9.5,10.5,45.5,0.5,40.5,30.5,14.5
"243",50.5,242.5,77.5,162.5,113.5,49.5,135.5,19.5,15.5,15.5,8.5,30.5,20.5,2.5
"244",241.5,248.5,160.5,85.5,164.5,161.5,204.5,38.5,0.5,0.5,30.5,37.5,0.5,16.5
"245",0.5,0.5,20.5,0.5,58.5,0.5,49.5,9.5,39.5,0.5,0.5,0.5,0.5,15.5
"246",131.5,168.5,301.5,256.5,331.5,92.5,315.5,75.5,76.5,90.5,89.5,112.5,186.5,102.5
"247",200.5,145.5,84.5,32.5,74.5,186.5,0.5,62.5,0.5,17.5,68.5,0.5,18.5,0.5
"248",69.5,119.5,93.5,59.5,50.5,125.5,246.5,54.5,24.5,35.5,0.5,58.5,48.5,11.5
"249",70.5,39.5,211.5,49.5,73.5,153.5,78.5,14.5,111.5,92.5,89.5,111.5,81.5,66.5
"250",259.5,26.5,121.5,154.5,116.5,120.5,264.5,26.5,21.5,0.5,12.5,68.5,5.5,12.5
"251",229.5,157.5,102.5,78.5,99.5,66.5,209.5,21.5,67.5,11.5,7.5,26.5,18.5,10.5
"252",146.5,36.5,30.5,0.5,163.5,67.5,14.5,0.5,0.5,13.5,10.5,7.5,0.5,0.5
"253",48.5,256.5,226.5,73.5,89.5,102.5,91.5,41.5,69.5,0.5,0.5,88.5,31.5,9.5
"254",49.5,180.5,73.5,47.5,36.5,39.5,49.5,131.5,3.5,14.5,49.5,10.5,6.5,0.5
"255",51.5,43.5,30.5,326.5,41.5,25.5,54.5,0.5,70.5,25.5,74.5,23.5,12.5,10.5
"256",128.5,153.5,63.5,119.5,77.5,233.5,77.5,0.5,46.5,41.5,10.5,51.5,46.5,29.5
"257",79.5,90.5,14.5,119.5,234.5,209.5,35.5,0.5,65.5,0.5,72.5,23.5,15.5,0.5
"258",84.5,98.5,17.5,53.5,131.5,150.5,84.5,36.5,16.5,39.5,59.5,15.5,0.5,0.5
"259",0.5,36.5,17.5,126.5,87.5,42.5,16.5,27.5,0.5,0.5,0.5,18.5,22.5,0.5
"260",280.5,99.5,202.5,19.5,111.5,146.5,33.5,0.5,37.5,30.5,34.5,145.5,90.5,0.5
"261",0.5,0.5,0.5,98.5,0.5,16.5,195.5,281.5,50.5,0.5,0.5,0.5,0.5,0.5
"262",603.5,102.5,216.5,232.5,283.5,293.5,118.5,43.5,54.5,0.5,44.5,0.5,0.5,0.5
"263",36.5,109.5,170.5,112.5,101.5,29.5,45.5,0.5,61.5,16.5,10.5,86.5,0.5,0.5
"264",334.5,103.5,111.5,198.5,59.5,75.5,89.5,35.5,36.5,31.5,65.5,68.5,61.5,35.5
"265",96.5,87.5,147.5,24.5,78.5,69.5,277.5,0.5,22.5,0.5,0.5,24.5,44.5,21.5
"266",103.5,65.5,134.5,93.5,130.5,32.5,44.5,19.5,0.5,24.5,30.5,0.5,0.5,0.5
"267",0.5,37.5,42.5,56.5,177.5,41.5,0.5,0.5,0.5,24.5,0.5,16.5,26.5,0.5
"268",165.5,89.5,95.5,22.5,101.5,48.5,21.5,0.5,56.5,0.5,0.5,35.5,0.5,0.5
"269",94.5,158.5,103.5,116.5,170.5,138.5,34.5,0.5,16.5,61.5,55.5,91.5,0.5,32.5
"270",152.5,72.5,94.5,53.5,169.5,77.5,66.5,0.5,36.5,54.5,50.5,11.5,0.5,0.5
"271",16.5,44.5,169.5,143.5,61.5,51.5,119.5,42.5,37.5,75.5,144.5,68.5,63.5,5.5
"272",119.5,32.5,178.5,124.5,84.5,102.5,49.5,38.5,56.5,13.5,0.5,41.5,0.5,0.5
"273",166.5,199.5,289.5,128.5,177.5,392.5,257.5,88.5,103.5,49.5,83.5,103.5,87.5,62.5
"274",82.5,234.5,150.5,82.5,99.5,273.5,216.5,50.5,144.5,50.5,37.5,275.5,75.5,136.5
"275",12.5,48.5,102.5,48.5,0.5,0.5,0.5,41.5,31.5,46.5,26.5,14.5,0.5,0.5
"276",156.5,117.5,51.5,225.5,21.5,325.5,116.5,20.5,45.5,11.5,68.5,122.5,11.5,50.5
"277",141.5,0.5,85.5,4.5,62.5,6.5,28.5,21.5,25.5,14.5,0.5,55.5,64.5,0.5
"278",137.5,123.5,101.5,136.5,152.5,143.5,104.5,57.5,49.5,33.5,43.5,20.5,35.5,99.5
"279",240.5,127.5,121.5,115.5,217.5,99.5,85.5,103.5,90.5,64.5,51.5,48.5,0.5,12.5
"280",43.5,17.5,43.5,36.5,36.5,24.5,3.5,29.5,32.5,24.5,35.5,2.5,0.5,7.5
"281",109.5,112.5,37.5,74.5,103.5,21.5,12.5,0.5,0.5,8.5,0.5,0.5,0.5,0.5
"282",24.5,18.5,18.5,34.5,4.5,30.5,0.5,0.5,9.5,0.5,30.5,12.5,5.5,0.5
"283",96.5,133.5,28.5,14.5,90.5,0.5,0.5,10.5,21.5,3.5,4.5,30.5,31.5,11.5
"284",118.5,86.5,115.5,134.5,81.5,0.5,138.5,0.5,0.5,4.5,0.5,92.5,55.5,48.5
"285",220.5,116.5,47.5,117.5,102.5,31.5,53.5,0.5,39.5,6.5,21.5,0.5,4.5,0.5
"286",56.5,79.5,21.5,52.5,0.5,20.5,38.5,16.5,0.5,0.5,0.5,0.5,0.5,0.5
"287",103.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"288",104.5,104.5,45.5,3.5,116.5,211.5,181.5,48.5,21.5,0.5,0.5,6.5,6.5,0.5
"289",124.5,43.5,50.5,161.5,71.5,148.5,64.5,0.5,34.5,0.5,66.5,37.5,68.5,0.5
"290",21.5,310.5,114.5,86.5,48.5,74.5,46.5,9.5,140.5,9.5,1.5,32.5,2.5,8.5
"291",193.5,385.5,197.5,172.5,65.5,105.5,207.5,0.5,91.5,0.5,63.5,16.5,7.5,0.5
"292",70.5,150.5,212.5,135.5,173.5,105.5,146.5,28.5,160.5,27.5,10.5,60.5,24.5,30.5
"293",83.5,6.5,112.5,288.5,116.5,52.5,91.5,11.5,50.5,0.5,5.5,12.5,12.5,16.5
"294",187.5,270.5,239.5,261.5,218.5,83.5,11.5,21.5,0.5,10.5,27.5,0.5,0.5,0.5
"295",81.5,75.5,17.5,111.5,74.5,144.5,4.5,0.5,25.5,25.5,27.5,0.5,0.5,0.5
"296",233.5,264.5,139.5,99.5,142.5,177.5,63.5,0.5,0.5,0.5,39.5,0.5,0.5,0.5
"297",12.5,54.5,131.5,77.5,120.5,56.5,81.5,0.5,20.5,18.5,50.5,0.5,45.5,0.5
"298",39.5,49.5,20.5,331.5,57.5,188.5,34.5,14.5,15.5,0.5,56.5,164.5,0.5,0.5
"299",196.5,89.5,279.5,195.5,314.5,141.5,74.5,59.5,28.5,24.5,16.5,74.5,118.5,0.5
"300",0.5,100.5,114.5,182.5,123.5,71.5,63.5,25.5,26.5,42.5,45.5,90.5,0.5,30.5
"301",105.5,105.5,88.5,99.5,150.5,34.5,15.5,14.5,0.5,0.5,46.5,49.5,54.5,30.5
"302",143.5,253.5,124.5,120.5,110.5,180.5,188.5,70.5,90.5,28.5,45.5,0.5,11.5,10.5
"303",91.5,53.5,130.5,111.5,56.5,31.5,46.5,0.5,36.5,0.5,30.5,24.5,9.5,3.5
"304",282.5,253.5,265.5,126.5,109.5,60.5,157.5,54.5,121.5,79.5,25.5,62.5,99.5,29.5
"305",226.5,157.5,179.5,140.5,29.5,67.5,73.5,1.5,79.5,12.5,54.5,10.5,58.5,0.5
"306",190.5,131.5,84.5,39.5,146.5,105.5,85.5,16.5,7.5,8.5,8.5,0.5,44.5,0.5
"307",152.5,52.5,69.5,119.5,57.5,38.5,101.5,0.5,0.5,11.5,19.5,76.5,30.5,20.5
"308",0.5,0.5,89.5,21.5,31.5,73.5,63.5,8.5,10.5,17.5,11.5,147.5,60.5,67.5
"309",72.5,60.5,58.5,64.5,28.5,36.5,55.5,0.5,8.5,0.5,49.5,15.5,35.5,0.5
"310",134.5,76.5,82.5,71.5,63.5,184.5,71.5,12.5,66.5,44.5,25.5,0.5,53.5,9.5
"311",55.5,53.5,20.5,0.5,13.5,67.5,10.5,10.5,30.5,0.5,9.5,0.5,0.5,9.5
"312",117.5,153.5,63.5,36.5,182.5,79.5,177.5,44.5,11.5,26.5,84.5,28.5,34.5,21.5
"313",155.5,131.5,128.5,115.5,133.5,149.5,192.5,52.5,26.5,18.5,7.5,62.5,25.5,57.5
"314",46.5,100.5,87.5,48.5,126.5,43.5,56.5,0.5,5.5,21.5,36.5,21.5,37.5,10.5
"315",219.5,352.5,119.5,66.5,20.5,79.5,121.5,99.5,12.5,0.5,9.5,20.5,15.5,20.5
"316",142.5,137.5,52.5,145.5,102.5,89.5,74.5,20.5,29.5,9.5,20.5,31.5,26.5,14.5
"317",70.5,142.5,106.5,29.5,98.5,92.5,138.5,50.5,45.5,47.5,46.5,44.5,10.5,20.5
"318",94.5,134.5,218.5,93.5,113.5,154.5,110.5,52.5,49.5,19.5,31.5,66.5,90.5,24.5
"319",140.5,194.5,201.5,70.5,75.5,128.5,194.5,22.5,25.5,35.5,80.5,59.5,54.5,12.5
"320",38.5,126.5,71.5,88.5,34.5,239.5,122.5,0.5,0.5,120.5,68.5,0.5,0.5,0.5
"321",163.5,54.5,26.5,17.5,109.5,47.5,111.5,26.5,152.5,28.5,215.5,120.5,156.5,95.5
"322",107.5,12.5,19.5,149.5,15.5,162.5,29.5,58.5,75.5,43.5,53.5,172.5,15.5,20.5
"323",166.5,504.5,470.5,411.5,226.5,64.5,25.5,11.5,0.5,0.5,92.5,201.5,62.5,15.5
"324",83.5,46.5,15.5,251.5,103.5,73.5,68.5,0.5,31.5,18.5,31.5,66.5,25.5,13.5
"325",95.5,72.5,79.5,53.5,16.5,84.5,113.5,41.5,6.5,73.5,42.5,47.5,21.5,14.5
"326",12.5,232.5,135.5,0.5,57.5,29.5,165.5,0.5,0.5,0.5,13.5,13.5,68.5,26.5
"327",100.5,47.5,135.5,77.5,109.5,50.5,81.5,77.5,51.5,47.5,98.5,100.5,94.5,0.5
"328",45.5,91.5,1.5,0.5,73.5,300.5,144.5,0.5,70.5,0.5,22.5,55.5,25.5,17.5
"329",195.5,314.5,25.5,342.5,194.5,111.5,144.5,74.5,46.5,62.5,0.5,119.5,36.5,2.5
"330",46.5,57.5,30.5,0.5,12.5,28.5,18.5,0.5,38.5,0.5,0.5,0.5,0.5,0.5
"331",140.5,294.5,359.5,60.5,147.5,188.5,124.5,73.5,77.5,0.5,48.5,0.5,0.5,6.5
"332",376.5,136.5,363.5,208.5,157.5,149.5,145.5,87.5,135.5,0.5,0.5,27.5,32.5,0.5
"333",119.5,151.5,266.5,165.5,69.5,282.5,157.5,43.5,82.5,29.5,21.5,190.5,88.5,0.5
"334",0.5,114.5,98.5,25.5,101.5,152.5,57.5,81.5,43.5,9.5,31.5,84.5,57.5,7.5
"335",103.5,51.5,70.5,75.5,44.5,18.5,23.5,6.5,17.5,12.5,0.5,0.5,18.5,0.5
"336",22.5,19.5,31.5,11.5,29.5,23.5,194.5,25.5,58.5,17.5,32.5,146.5,89.5,0.5
"337",30.5,26.5,81.5,24.5,84.5,126.5,42.5,87.5,21.5,28.5,98.5,53.5,26.5,0.5
"338",6.5,59.5,243.5,51.5,46.5,7.5,113.5,77.5,158.5,77.5,35.5,0.5,1.5,1.5
"339",0.5,146.5,57.5,46.5,57.5,50.5,25.5,0.5,37.5,65.5,49.5,26.5,23.5,13.5
"340",127.5,91.5,97.5,46.5,132.5,69.5,154.5,29.5,21.5,0.5,0.5,0.5,45.5,33.5
"341",257.5,41.5,116.5,300.5,43.5,99.5,218.5,31.5,60.5,0.5,14.5,28.5,0.5,13.5
"342",19.5,21.5,41.5,54.5,135.5,13.5,41.5,154.5,59.5,0.5,35.5,56.5,0.5,0.5
"343",17.5,36.5,150.5,81.5,92.5,17.5,109.5,12.5,51.5,20.5,59.5,20.5,36.5,78.5
"344",92.5,83.5,90.5,94.5,237.5,95.5,115.5,79.5,24.5,23.5,20.5,68.5,68.5,0.5
"345",160.5,86.5,127.5,75.5,104.5,138.5,91.5,23.5,103.5,40.5,51.5,65.5,10.5,7.5
"346",86.5,178.5,71.5,34.5,112.5,133.5,138.5,62.5,68.5,0.5,18.5,146.5,0.5,17.5
"347",29.5,15.5,71.5,257.5,30.5,34.5,247.5,21.5,0.5,18.5,31.5,23.5,18.5,130.5
"348",36.5,181.5,18.5,193.5,142.5,184.5,197.5,36.5,119.5,153.5,67.5,93.5,0.5,41.5
"349",67.5,60.5,23.5,51.5,59.5,66.5,103.5,54.5,99.5,47.5,83.5,119.5,27.5,30.5
"350",38.5,21.5,71.5,11.5,110.5,81.5,125.5,41.5,49.5,52.5,26.5,99.5,77.5,57.5
"351",42.5,162.5,129.5,133.5,119.5,82.5,95.5,31.5,136.5,39.5,121.5,420.5,90.5,45.5
"352",82.5,65.5,206.5,121.5,161.5,96.5,165.5,66.5,260.5,20.5,116.5,155.5,196.5,43.5
"353",60.5,98.5,99.5,183.5,341.5,257.5,277.5,62.5,53.5,103.5,51.5,43.5,0.5,54.5
"354",9.5,21.5,69.5,58.5,101.5,67.5,165.5,42.5,55.5,12.5,30.5,61.5,78.5,75.5
"355",230.5,180.5,120.5,195.5,254.5,168.5,173.5,121.5,117.5,39.5,26.5,121.5,90.5,156.5
"356",32.5,28.5,81.5,58.5,83.5,135.5,111.5,18.5,105.5,41.5,44.5,34.5,40.5,33.5
"357",39.5,86.5,108.5,146.5,217.5,144.5,126.5,38.5,63.5,72.5,52.5,52.5,34.5,8.5
"358",41.5,61.5,74.5,94.5,322.5,122.5,96.5,39.5,67.5,21.5,60.5,75.5,65.5,21.5
"359",57.5,42.5,97.5,66.5,78.5,146.5,107.5,43.5,33.5,19.5,48.5,100.5,48.5,0.5
"360",55.5,52.5,64.5,44.5,94.5,115.5,98.5,32.5,49.5,19.5,119.5,104.5,68.5,65.5
"361",147.5,173.5,259.5,260.5,163.5,164.5,183.5,66.5,164.5,66.5,70.5,74.5,6.5,14.5
"362",91.5,103.5,80.5,105.5,52.5,159.5,162.5,72.5,83.5,40.5,108.5,45.5,24.5,23.5
"363",107.5,61.5,43.5,281.5,193.5,164.5,132.5,65.5,121.5,41.5,80.5,63.5,47.5,4.5
"364",19.5,43.5,287.5,64.5,45.5,114.5,25.5,27.5,110.5,10.5,97.5,59.5,64.5,3.5
"365",51.5,32.5,45.5,135.5,29.5,18.5,33.5,10.5,39.5,20.5,44.5,34.5,14.5,10.5
"366",9.5,17.5,35.5,95.5,100.5,50.5,0.5,58.5,57.5,6.5,0.5,0.5,0.5,0.5
"367",53.5,71.5,54.5,105.5,139.5,297.5,97.5,30.5,35.5,20.5,22.5,58.5,33.5,33.5
"368",86.5,197.5,80.5,164.5,67.5,121.5,195.5,96.5,82.5,34.5,19.5,112.5,14.5,8.5
"369",19.5,24.5,318.5,52.5,27.5,21.5,63.5,17.5,41.5,0.5,0.5,84.5,0.5,111.5
"370",39.5,69.5,18.5,184.5,108.5,252.5,61.5,39.5,57.5,0.5,32.5,73.5,36.5,14.5
"371",63.5,124.5,66.5,0.5,34.5,99.5,74.5,13.5,59.5,9.5,0.5,9.5,2.5,4.5
"372",126.5,69.5,52.5,162.5,17.5,89.5,61.5,0.5,10.5,0.5,0.5,64.5,94.5,24.5
"373",0.5,190.5,67.5,83.5,61.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
"374",103.5,100.5,74.5,5.5,16.5,46.5,15.5,8.5,8.5,1.5,0.5,34.5,18.5,5.5
"375",177.5,50.5,110.5,7.5,30.5,159.5,153.5,9.5,57.5,50.5,0.5,11.5,13.5,10.5
"376",50.5,70.5,70.5,216.5,48.5,22.5,60.5,26.5,7.5,14.5,59.5,19.5,10.5,14.5
"377",74.5,112.5,114.5,0.5,23.5,0.5,133.5,163.5,71.5,0.5,0.5,21.5,0.5,0.5
"378",110.5,93.5,211.5,43.5,106.5,127.5,99.5,69.5,53.5,0.5,196.5,22.5,19.5,17.5
"379",269.5,64.5,215.5,99.5,94.5,90.5,63.5,17.5,53.5,97.5,114.5,99.5,125.5,16.5
"380",190.5,136.5,240.5,123.5,289.5,171.5,292.5,101.5,194.5,35.5,95.5,60.5,1.5,46.5
"381",70.5,56.5,87.5,132.5,432.5,114.5,108.5,34.5,122.5,54.5,83.5,94.5,35.5,115.5
"382",99.5,64.5,0.5,18.5,31.5,21.5,14.5,37.5,60.5,41.5,15.5,52.5,0.5,68.5
"383",65.5,62.5,0.5,106.5,63.5,57.5,14.5,24.5,31.5,0.5,6.5,40.5,0.5,9.5
"384",18.5,67.5,89.5,19.5,104.5,42.5,47.5,13.5,43.5,55.5,19.5,30.5,38.5,24.5
"385",48.5,139.5,76.5,208.5,151.5,95.5,101.5,75.5,103.5,41.5,21.5,35.5,19.5,16.5
"386",34.5,71.5,151.5,152.5,89.5,97.5,152.5,28.5,67.5,44.5,68.5,86.5,94.5,20.5
"387",307.5,147.5,224.5,125.5,141.5,106.5,10.5,8.5,35.5,61.5,0.5,9.5,72.5,0.5
"388",0.5,29.5,24.5,0.5,0.5,0.5,7.5,14.5,56.5,12.5,22.5,0.5,0.5,0.5
"389",174.5,398.5,643.5,330.5,211.5,180.5,116.5,18.5,63.5,9.5,67.5,78.5,32.5,0.5
"390",73.5,41.5,12.5,44.5,53.5,118.5,78.5,24.5,66.5,0.5,0.5,70.5,47.5,12.5
"391",153.5,325.5,104.5,123.5,103.5,275.5,221.5,38.5,247.5,125.5,65.5,70.5,80.5,0.5
"392",40.5,7.5,12.5,13.5,161.5,54.5,48.5,14.5,23.5,17.5,10.5,10.5,9.5,43.5
"393",157.5,406.5,151.5,107.5,29.5,100.5,75.5,0.5,88.5,18.5,72.5,61.5,1.5,33.5
"394",44.5,108.5,91.5,152.5,106.5,445.5,73.5,134.5,70.5,27.5,69.5,83.5,32.5,15.5
"395",64.5,100.5,68.5,37.5,24.5,105.5,124.5,20.5,75.5,16.5,146.5,68.5,44.5,17.5
"396",101.5,31.5,113.5,113.5,208.5,72.5,88.5,51.5,27.5,8.5,37.5,46.5,17.5,7.5
"397",60.5,107.5,94.5,81.5,126.5,257.5,138.5,116.5,106.5,24.5,70.5,93.5,23.5,55.5
"398",93.5,145.5,191.5,156.5,71.5,148.5,119.5,58.5,85.5,25.5,86.5,68.5,42.5,0.5
"399",75.5,195.5,110.5,14.5,65.5,174.5,94.5,0.5,53.5,0.5,0.5,83.5,20.5,118.5
"400",331.5,106.5,144.5,155.5,90.5,154.5,218.5,23.5,23.5,46.5,212.5,25.5,33.5,34.5
"401",20.5,205.5,282.5,189.5,95.5,218.5,124.5,0.5,25.5,57.5,47.5,30.5,0.5,0.5
"402",54.5,105.5,169.5,222.5,74.5,41.5,203.5,27.5,12.5,47.5,13.5,70.5,0.5,0.5
"403",20.5,19.5,64.5,110.5,164.5,101.5,28.5,13.5,18.5,120.5,0.5,0.5,75.5,48.5
"404",11.5,37.5,89.5,61.5,30.5,9.5,54.5,0.5,29.5,5.5,73.5,5.5,0.5,0.5
"405",32.5,55.5,27.5,108.5,146.5,62.5,108.5,40.5,30.5,40.5,89.5,61.5,62.5,8.5
"406",300.5,130.5,87.5,50.5,108.5,91.5,46.5,73.5,84.5,32.5,56.5,94.5,49.5,0.5
"407",105.5,37.5,57.5,73.5,14.5,105.5,125.5,29.5,0.5,22.5,35.5,47.5,19.5,27.5
"408",177.5,58.5,137.5,52.5,76.5,95.5,129.5,191.5,65.5,10.5,25.5,70.5,10.5,0.5
"409",0.5,101.5,32.5,57.5,46.5,10.5,66.5,0.5,33.5,41.5,18.5,43.5,23.5,53.5
"410",82.5,52.5,59.5,64.5,13.5,83.5,82.5,46.5,78.5,119.5,0.5,52.5,14.5,0.5
"411",72.5,204.5,36.5,133.5,24.5,220.5,46.5,34.5,0.5,0.5,7.5,42.5,15.5,0.5
"412",73.5,267.5,45.5,12.5,22.5,1.5,177.5,36.5,7.5,20.5,218.5,0.5,0.5,19.5
"413",22.5,76.5,62.5,122.5,257.5,53.5,317.5,42.5,39.5,64.5,52.5,48.5,0.5,0.5
"414",37.5,31.5,87.5,70.5,37.5,0.5,98.5,51.5,30.5,21.5,32.5,64.5,67.5,0.5
"415",203.5,25.5,329.5,72.5,19.5,0.5,190.5,18.5,78.5,66.5,24.5,127.5,22.5,3.5
"416",501.5,226.5,250.5,135.5,245.5,177.5,292.5,37.5,109.5,61.5,49.5,37.5,36.5,44.5
"417",57.5,94.5,291.5,121.5,168.5,151.5,113.5,12.5,18.5,43.5,24.5,33.5,12.5,0.5
"418",68.5,203.5,145.5,75.5,186.5,89.5,319.5,48.5,30.5,104.5,81.5,162.5,92.5,19.5
"419",93.5,65.5,92.5,146.5,33.5,187.5,207.5,101.5,150.5,38.5,66.5,28.5,0.5,0.5
"420",272.5,62.5,96.5,44.5,141.5,181.5,170.5,26.5,49.5,44.5,11.5,81.5,22.5,39.5
"421",76.5,84.5,96.5,41.5,49.5,121.5,73.5,63.5,39.5,35.5,82.5,32.5,22.5,0.5
"422",83.5,26.5,95.5,87.5,173.5,91.5,87.5,42.5,61.5,53.5,110.5,54.5,113.5,22.5
"423",202.5,117.5,11.5,132.5,126.5,80.5,176.5,10.5,35.5,9.5,51.5,16.5,15.5,31.5
"424",46.5,33.5,91.5,28.5,88.5,19.5,88.5,16.5,54.5,84.5,32.5,22.5,0.5,0.5
"425",110.5,141.5,18.5,45.5,99.5,40.5,99.5,23.5,37.5,0.5,31.5,23.5,37.5,0.5
"426",65.5,33.5,106.5,40.5,14.5,12.5,23.5,45.5,122.5,53.5,0.5,23.5,0.5,0.5
"427",80.5,138.5,188.5,194.5,67.5,205.5,287.5,72.5,196.5,105.5,77.5,38.5,43.5,28.5
"428",121.5,151.5,198.5,94.5,192.5,135.5,127.5,58.5,112.5,148.5,67.5,164.5,57.5,27.5
"429",56.5,0.5,71.5,106.5,54.5,122.5,97.5,17.5,31.5,0.5,21.5,29.5,51.5,87.5
"430",132.5,141.5,98.5,38.5,72.5,158.5,135.5,106.5,81.5,153.5,15.5,99.5,44.5,16.5
"431",52.5,80.5,54.5,160.5,89.5,76.5,72.5,19.5,46.5,0.5,33.5,79.5,57.5,8.5
"432",73.5,35.5,23.5,96.5,144.5,112.5,150.5,8.5,80.5,17.5,31.5,41.5,37.5,58.5
"433",175.5,440.5,72.5,321.5,241.5,84.5,179.5,37.5,111.5,36.5,19.5,39.5,76.5,15.5
"434",82.5,94.5,72.5,33.5,173.5,160.5,127.5,64.5,11.5,0.5,55.5,37.5,18.5,29.5
"435",78.5,77.5,56.5,72.5,44.5,46.5,53.5,40.5,61.5,52.5,43.5,31.5,64.5,47.5
"436",156.5,68.5,84.5,60.5,71.5,54.5,163.5,22.5,54.5,20.5,35.5,32.5,13.5,8.5
"437",73.5,85.5,46.5,37.5,59.5,224.5,124.5,42.5,30.5,0.5,90.5,95.5,51.5,37.5
"438",178.5,184.5,144.5,104.5,142.5,87.5,233.5,77.5,93.5,86.5,28.5,62.5,28.5,13.5
"439",265.5,168.5,175.5,223.5,59.5,164.5,272.5,58.5,44.5,187.5,41.5,92.5,84.5,0.5
"440",166.5,368.5,129.5,170.5,190.5,172.5,120.5,25.5,59.5,98.5,34.5,85.5,0.5,0.5
"441",164.5,66.5,146.5,115.5,100.5,163.5,119.5,70.5,128.5,13.5,46.5,138.5,62.5,0.5
"442",140.5,140.5,102.5,104.5,74.5,173.5,68.5,64.5,91.5,12.5,13.5,107.5,32.5,0.5
"443",94.5,166.5,114.5,50.5,260.5,125.5,190.5,61.5,85.5,49.5,60.5,124.5,47.5,200.5
"444",0.5,69.5,0.5,42.5,78.5,32.5,137.5,14.5,67.5,27.5,119.5,179.5,169.5,214.5
"445",76.5,44.5,56.5,9.5,162.5,65.5,155.5,49.5,113.5,65.5,25.5,39.5,10.5,6.5
"446",161.5,101.5,179.5,628.5,50.5,223.5,173.5,80.5,135.5,27.5,63.5,26.5,15.5,25.5
"447",113.5,149.5,40.5,43.5,70.5,53.5,83.5,75.5,44.5,25.5,88.5,114.5,138.5,95.5
"448",94.5,21.5,30.5,214.5,143.5,50.5,214.5,0.5,60.5,92.5,0.5,269.5,54.5,0.5
"449",0.5,15.5,51.5,41.5,89.5,14.5,25.5,23.5,0.5,13.5,31.5,77.5,46.5,44.5
"450",96.5,92.5,83.5,72.5,76.5,8.5,274.5,38.5,60.5,25.5,22.5,89.5,20.5,39.5
"451",62.5,50.5,171.5,139.5,108.5,96.5,142.5,61.5,72.5,101.5,139.5,112.5,85.5,84.5
"452",77.5,15.5,27.5,159.5,61.5,59.5,109.5,0.5,71.5,55.5,53.5,30.5,29.5,0.5
"453",74.5,220.5,109.5,70.5,494.5,125.5,165.5,39.5,236.5,34.5,62.5,84.5,65.5,54.5
"454",0.5,0.5,52.5,26.5,0.5,53.5,11.5,27.5,0.5,0.5,31.5,36.5,21.5,93.5
"455",52.5,424.5,126.5,51.5,277.5,148.5,201.5,0.5,37.5,56.5,49.5,91.5,0.5,12.5
"456",0.5,68.5,0.5,35.5,11.5,61.5,95.5,15.5,71.5,34.5,26.5,29.5,28.5,14.5
"457",61.5,18.5,108.5,70.5,113.5,66.5,70.5,16.5,72.5,16.5,29.5,11.5,54.5,0.5
"458",28.5,2.5,87.5,52.5,36.5,29.5,58.5,15.5,57.5,39.5,34.5,44.5,8.5,10.5
"459",32.5,55.5,97.5,96.5,42.5,50.5,86.5,68.5,106.5,84.5,56.5,156.5,111.5,42.5
"460",61.5,83.5,46.5,196.5,143.5,43.5,109.5,39.5,0.5,0.5,89.5,70.5,37.5,24.5
"461",48.5,72.5,108.5,7.5,22.5,78.5,116.5,6.5,17.5,25.5,44.5,63.5,12.5,5.5
"462",107.5,287.5,60.5,237.5,195.5,150.5,370.5,60.5,41.5,79.5,74.5,175.5,34.5,29.5
"463",98.5,83.5,100.5,87.5,162.5,173.5,72.5,56.5,85.5,31.5,52.5,41.5,36.5,28.5
