"Less than $25,000","$25,000 - $34,999","$35,000 - $49,999","$50,000 - 74,999","$75,000 - $99,999","$100,000 - $149,999","$150,000 - $199,999","$200,000 and above"
8,4,6,33,22,144,89,2
42,16,15,33,45,133,30,124
35,20,24,31,44,169,68,89
15,22,15,67,61,77,137,20
38,25,35,114,56,446,43,204
120,58,79,55,4,50,2,27
12,84,6,88,71,16,67,91
8,29,52,31,65,32,27,27
58,35,59,143,70,132,23,119
66,30,34,52,116,211,94,100
14,4,13,88,57,43,97,70
17,19,63,62,199,156,183,123
8,55,6,53,81,110,109,108
29,71,6,45,215,101,205,36
50,4,18,4,63,218,2,84
45,48,47,38,51,44,29,72
8,12,14,33,2,71,25,65
30,35,32,30,28,88,90,37
15,18,62,95,65,95,115,151
135,24,33,86,75,260,133,117
28,4,53,53,55,99,70,22
28,27,6,116,41,18,64,290
15,15,6,36,2,97,32,28
60,45,35,18,88,155,49,92
14,11,67,158,42,182,27,22
36,4,13,23,33,57,28,30
113,106,10,80,31,90,82,16
63,24,38,110,19,67,27,11
92,29,117,107,143,148,107,24
57,281,28,170,119,168,217,120
260,29,31,4,75,72,2,114
21,29,14,123,72,157,64,32
74,4,45,18,35,82,137,64
90,39,6,51,2,75,30,2
25,4,50,34,53,53,2,66
40,15,23,31,55,138,46,88
45,18,87,49,38,125,12,67
70,14,20,119,78,60,40,35
101,198,47,137,141,87,123,15
42,20,22,264,148,253,81,29
127,55,70,65,37,99,103,247
35,30,6,57,24,67,33,47
49,79,6,194,13,77,61,61
8,30,6,75,92,72,57,52
51,16,98,198,189,37,35,2
8,81,50,83,2,85,25,104
152,18,38,20,212,109,2,26
22,4,29,34,37,55,71,102
244,4,115,43,141,99,39,74
201,137,41,160,228,36,7,14
47,17,24,24,29,7,9,2
127,47,191,193,134,261,153,87
69,26,34,181,162,82,2,20
51,4,93,101,41,103,17,36
100,97,52,80,123,128,34,31
119,55,12,93,48,109,137,2
67,55,69,112,144,39,37,64
73,4,6,85,37,45,2,41
113,91,6,19,48,208,63,13
204,4,77,47,2,26,10,14
35,4,314,67,24,100,36,2
147,30,70,121,43,138,39,2
33,111,113,35,72,30,61,49
20,4,30,24,81,58,168,2
18,91,6,63,59,20,24,2
236,63,133,141,37,40,20,16
24,15,196,4,52,4,2,2
157,6,201,209,171,156,73,65
82,10,154,41,21,39,2,43
414,59,37,61,34,70,64,29
136,58,47,90,26,83,33,2
37,4,43,107,23,94,2,2
10,4,73,29,34,101,13,2
58,18,76,38,27,36,22,15
114,29,67,69,146,93,39,55
44,40,81,145,119,56,2,21
286,26,35,148,31,37,2,9
140,44,116,32,43,28,54,2
242,16,326,132,50,116,29,63
750,31,207,140,129,198,64,33
92,4,80,4,50,4,2,15
102,47,6,154,55,260,32,41
30,7,28,20,62,19,47,35
153,4,75,93,110,122,24,102
178,95,26,35,181,78,25,62
49,4,6,19,48,74,25,56
190,69,70,22,22,43,39,57
118,38,88,14,23,34,22,17
57,49,14,29,53,180,25,37
373,157,45,69,24,95,32,40
43,36,106,140,41,115,2,2
109,4,21,85,32,40,2,2
109,4,6,4,22,59,130,2
78,54,43,48,54,67,2,56
67,23,102,73,60,28,21,44
360,38,36,42,23,62,21,2
191,30,50,239,59,65,71,55
95,33,64,128,66,46,98,70
43,56,41,160,54,58,7,13
38,117,88,139,70,86,12,34
32,32,36,41,62,43,32,16
229,62,46,114,55,45,2,60
51,43,6,27,132,54,2,13
142,4,62,4,33,39,27,127
182,15,178,98,173,182,56,32
72,110,76,85,19,64,58,2
61,53,40,129,58,32,26,20
138,147,64,90,71,112,2,10
247,4,6,32,2,38,32,2
31,55,60,128,134,252,79,158
307,26,46,172,35,106,44,55
164,33,27,114,60,48,2,16
93,59,6,52,56,78,33,39
273,66,18,55,12,28,9,26
22,4,16,23,62,77,10,11
8,12,36,54,38,202,25,17
18,4,19,13,9,69,34,2
46,32,25,85,184,123,41,56
54,13,39,28,71,191,171,52
100,37,36,20,81,63,9,19
57,45,50,162,71,169,184,28
98,26,66,83,82,107,66,29
28,4,6,26,21,135,99,165
26,4,36,19,48,140,151,130
54,39,26,155,86,182,106,100
8,20,10,75,2,141,125,70
25,35,19,330,55,194,71,64
29,102,45,24,78,159,50,189
40,23,23,90,139,280,250,318
16,4,10,47,18,55,43,225
27,28,21,19,25,31,129,104
29,52,182,200,31,107,2,33
63,86,119,4,92,91,74,38
60,4,141,71,39,123,19,35
21,45,6,85,4,132,277,290
38,42,6,4,2,4,2,51
72,4,147,30,40,139,144,255
112,4,86,231,56,250,258,58
55,99,86,52,34,364,57,69
29,4,43,90,2,54,47,172
8,4,6,4,2,4,2,2
196,22,38,102,111,25,8,2
8,18,6,40,57,41,71,120
8,16,45,107,35,198,70,14
8,10,6,18,33,76,16,150
23,4,118,173,19,55,51,21
23,4,33,140,15,95,42,250
8,23,65,25,160,20,94,56
22,17,16,18,85,46,87,129
34,20,8,22,11,96,95,209
27,4,76,32,51,142,14,198
43,4,70,91,119,57,61,91
25,55,6,107,2,53,103,166
26,39,26,59,49,64,149,239
48,4,34,10,44,68,85,188
8,10,10,38,69,65,52,131
224,4,41,230,86,359,189,47
8,4,114,194,114,132,87,265
14,21,26,48,137,197,112,315
8,4,37,4,17,28,90,241
144,38,68,157,59,148,154,334
28,30,12,21,23,92,50,173
17,18,6,14,21,127,84,294
16,35,12,14,46,116,114,283
25,7,8,9,7,127,112,138
79,50,26,119,142,95,44,75
104,36,14,136,65,218,137,253
53,4,60,22,28,113,94,192
28,23,49,74,54,214,113,170
16,56,37,31,56,83,33,125
18,25,18,25,18,83,59,22
41,4,32,12,2,85,58,37
38,4,11,32,55,34,117,272
39,4,6,37,27,207,86,180
28,32,12,61,106,108,10,27
38,4,103,13,92,216,88,53
35,22,10,4,26,116,36,49
60,4,6,70,46,201,49,71
8,20,6,6,128,4,4,59
32,63,14,40,15,44,9,18
11,24,74,22,131,56,30,52
80,22,49,131,49,19,71,2
34,4,58,73,2,60,19,134
27,60,53,230,12,137,50,35
172,228,53,42,52,144,77,115
40,21,53,214,87,266,204,94
26,9,211,156,31,128,73,233
71,4,42,18,14,113,22,30
8,4,66,19,22,48,39,82
80,23,35,20,107,119,17,14
90,13,96,59,43,145,76,211
29,37,27,74,54,145,118,109
83,98,79,161,181,105,51,10
8,4,12,18,2,22,25,2
110,146,96,285,354,263,55,33
17,47,64,57,43,121,36,15
50,12,51,124,31,266,133,244
61,54,67,12,16,53,49,49
140,68,41,121,156,64,95,72
53,41,16,41,131,244,83,205
8,21,64,70,60,134,73,50
15,41,25,62,58,87,35,86
8,17,17,70,23,159,137,147
38,64,36,74,38,120,110,142
17,41,16,54,157,72,64,106
90,63,196,354,182,99,31,2
57,14,118,37,140,104,147,110
30,4,34,46,30,261,35,194
56,22,44,239,2,135,15,2
30,4,6,30,40,32,59,22
63,4,84,32,47,68,35,100
64,37,44,284,116,196,47,69
29,17,73,51,118,25,84,2
100,25,16,139,82,123,91,72
16,64,39,14,39,62,64,10
40,4,58,108,51,84,71,11
62,115,91,4,28,77,141,50
44,4,25,4,87,242,79,25
61,15,322,139,17,87,37,97
73,4,33,51,34,88,22,25
73,4,88,57,5,205,214,75
180,18,235,183,373,244,44,89
8,4,32,65,2,159,99,211
32,45,79,53,63,104,110,344
8,15,16,4,47,256,95,149
31,17,59,88,29,223,92,70
13,10,44,78,27,64,93,73
140,22,104,28,126,125,64,56
98,47,177,193,140,108,28,15
18,13,6,21,69,145,33,47
49,28,111,71,40,195,56,2
56,4,20,46,24,33,48,33
98,103,52,72,129,304,106,147
21,18,6,187,145,116,124,179
89,4,35,14,61,83,31,107
50,13,53,107,41,74,113,192
22,10,83,30,113,42,25,65
8,17,6,94,39,85,90,126
134,86,142,193,158,163,137,89
41,22,6,38,35,148,135,56
27,16,64,50,53,65,92,49
44,79,42,101,61,95,42,71
8,42,19,15,63,152,69,149
98,17,19,169,187,160,124,64
213,115,223,153,183,139,14,30
42,4,94,367,270,70,2,24
24,57,32,86,121,93,131,212
28,19,19,36,36,154,111,153
207,11,6,53,57,248,101,166
230,94,156,211,75,70,24,41
26,20,25,26,29,109,80,128
44,4,62,82,2,122,75,433
226,15,37,134,12,124,69,102
8,4,6,146,82,63,291,139
54,16,69,9,41,4,72,11
58,49,62,85,97,57,120,99
8,4,36,103,74,91,34,347
8,4,16,29,118,96,33,83
22,71,32,332,130,251,57,73
19,43,16,187,33,18,2,2
71,16,6,152,170,221,142,106
41,17,32,52,34,88,11,27
73,10,63,58,99,45,46,76
29,50,59,53,60,49,18,21
163,15,134,88,93,78,97,10
13,13,52,70,17,166,53,107
8,15,21,50,34,101,36,100
163,62,44,60,53,264,144,245
51,58,39,48,76,153,112,84
30,4,52,60,86,113,26,40
236,104,185,67,164,203,2,15
26,20,6,34,19,138,221,73
345,129,49,152,60,29,35,88
52,19,36,121,17,34,27,35
90,21,61,230,19,59,14,46
64,45,67,146,43,58,56,69
127,90,179,73,123,66,21,32
94,18,91,291,130,46,55,28
52,51,162,107,163,63,36,30
282,20,289,39,165,34,22,2
73,67,38,19,18,4,22,59
87,108,113,149,165,23,14,57
109,14,6,4,52,4,18,2
99,12,61,174,27,87,79,47
90,57,130,380,171,119,87,83
33,20,14,32,37,133,134,166
15,4,68,48,69,168,75,35
8,4,22,14,51,62,55,59
58,18,6,86,2,77,51,273
73,4,6,33,17,94,115,503
8,21,6,50,46,58,42,386
8,4,20,4,10,66,59,187
8,12,62,52,57,109,228,335
26,62,16,24,14,75,176,327
16,4,57,4,63,23,84,309
8,4,6,47,35,96,69,377
8,4,51,4,2,117,45,132
220,4,204,65,202,267,190,238
21,4,6,4,38,4,378,312
23,29,148,48,362,153,305,211
31,4,67,85,5,150,99,270
76,4,141,56,153,177,264,398
50,4,6,121,14,40,66,2
70,4,108,76,169,361,74,2
235,4,37,46,109,111,305,161
51,4,27,29,118,221,5,205
24,4,6,40,18,72,154,190
29,4,53,139,22,170,68,266
8,25,89,87,35,60,157,456
130,41,38,83,72,80,171,77
8,4,6,13,56,63,101,49
172,82,39,74,29,112,73,118
32,23,69,20,24,148,190,533
8,12,6,20,17,75,131,429
79,4,27,10,22,67,53,105
17,11,14,24,8,44,65,182
47,47,34,342,59,141,51,62
204,4,147,249,104,524,59,103
8,4,6,4,34,35,19,116
51,4,16,43,2,78,13,273
31,4,16,99,54,137,78,349
20,28,19,17,2,83,28,327
8,4,6,4,2,10,28,2
60,32,31,325,84,85,67,171
119,19,73,32,71,79,74,424
93,23,54,135,132,342,79,81
8,4,75,17,18,4,162,229
21,9,46,80,49,179,106,154
14,4,6,76,49,56,114,152
21,71,42,4,94,217,82,138
8,4,44,80,100,218,67,329
20,16,22,39,54,248,74,123
55,15,310,83,85,110,85,102
17,4,14,61,47,153,126,467
34,4,64,31,71,79,68,124
8,11,43,17,191,155,14,34
46,4,74,81,146,259,99,33
8,13,6,4,180,117,78,751
8,19,6,28,48,142,76,24
8,4,6,30,59,85,227,68
58,4,6,22,2,101,71,194
30,49,75,88,131,701,55,129
34,45,55,44,30,46,57,301
95,60,14,45,83,156,111,72
8,8,6,4,2,106,41,51
95,30,96,188,178,189,59,23
8,43,75,233,160,217,178,59
60,25,42,22,87,95,100,418
33,11,10,28,31,125,75,259
14,4,6,4,2,4,2,8
43,4,23,24,27,85,44,41
8,4,6,4,2,4,2,2
16,27,23,4,34,96,16,99
8,4,6,4,42,4,2,2
175,84,6,95,64,102,58,85
93,110,6,49,40,236,23,47
22,11,19,58,48,208,98,52
15,12,53,42,62,44,85,78
120,43,68,78,75,209,86,26
21,4,39,15,91,87,146,43
71,65,32,21,87,208,28,71
141,4,6,4,13,4,50,2
83,4,6,4,2,37,32,149
119,115,6,22,2,61,101,2
387,4,48,83,53,4,2,2
360,4,55,58,77,319,188,72
25,42,101,60,57,158,185,233
55,96,49,4,46,99,2,23
8,4,6,24,121,4,44,58
233,183,36,61,40,217,81,101
8,4,6,4,2,4,12,2
38,4,19,15,2,40,12,6
