"Less than high school","Some high school","High school graduate or equivalent (for example GED)","Some college, but degree not received or is in progress","Associate’s degree (for example AA, AS)","Bachelor's degree (for example BA, BS, AB)","Graduate degree (for example master's, professional, doctorate)"
8.5,2,1,3,2.5,6.5,14.5
5.5,23,1,23,21.5,0.5,27.5
61.5,33,233,176,66.5,465.5,228.5
19.5,22,244,205,16.5,257.5,258.5
50.5,121,283,323,46.5,353.5,210.5
17.5,23,162,101,51.5,119.5,48.5
15.5,59,161,107,56.5,120.5,39.5
17.5,45,144,87,41.5,206.5,28.5
19.5,2,197,105,74.5,128.5,150.5
43.5,28,234,188,31.5,235.5,95.5
76.5,73,208,101,364.5,236.5,220.5
80.5,15,222,241,90.5,705.5,528.5
12.5,2,149,32,41.5,181.5,150.5
16.5,13,180,138,107.5,320.5,228.5
5.5,11,71,21,32.5,221.5,262.5
11.5,13,43,81,37.5,428.5,298.5
5.5,24,49,87,19.5,316.5,258.5
5.5,4,47,58,41.5,229.5,244.5
5.5,32,157,195,92.5,322.5,405.5
67.5,34,122,168,114.5,377.5,224.5
42.5,91,54,45,55.5,100.5,190.5
5.5,11,240,199,104.5,255.5,328.5
35.5,43,379,355,82.5,400.5,142.5
87.5,59,208,292,23.5,294.5,214.5
31.5,26,252,325,19.5,416.5,251.5
103.5,61,246,156,103.5,638.5,165.5
153.5,86,576,212,150.5,466.5,172.5
26.5,33,246,125,148.5,369.5,108.5
5.5,17,40,88,35.5,97.5,106.5
8.5,11,185,89,30.5,135.5,44.5
25.5,46,74,126,59.5,213.5,128.5
5.5,68,209,230,83.5,349.5,215.5
74.5,84,102,229,15.5,201.5,202.5
27.5,119,182,21,57.5,427.5,104.5
18.5,105,200,108,36.5,241.5,382.5
5.5,69,306,123,9.5,231.5,88.5
30.5,58,128,148,12.5,223.5,331.5
32.5,114,297,235,50.5,838.5,738.5
37.5,164,335,51,24.5,272.5,538.5
5.5,60,323,39,36.5,109.5,220.5
5.5,2,209,276,202.5,126.5,1.5
20.5,85,677,263,91.5,268.5,143.5
5.5,48,161,111,30.5,123.5,42.5
5.5,140,107,155,0.5,227.5,112.5
40.5,61,61,51,44.5,92.5,182.5
15.5,55,193,64,79.5,126.5,51.5
39.5,61,490,259,136.5,366.5,212.5
5.5,38,346,176,105.5,418.5,292.5
59.5,112,420,129,338.5,161.5,135.5
73.5,55,309,136,46.5,177.5,8.5
81.5,65,215,41,27.5,66.5,22.5
46.5,2,239,65,74.5,14.5,23.5
80.5,109,467,154,167.5,366.5,328.5
76.5,161,423,277,104.5,264.5,359.5
5.5,2,173,147,0.5,53.5,130.5
24.5,19,364,192,100.5,148.5,64.5
42.5,24,262,158,84.5,235.5,99.5
9.5,54,98,128,96.5,332.5,61.5
36.5,60,519,560,92.5,241.5,232.5
5.5,42,235,87,14.5,71.5,31.5
97.5,53,241,153,80.5,107.5,166.5
115.5,81,124,82,81.5,102.5,39.5
27.5,94,266,191,214.5,137.5,181.5
100.5,72,612,346,47.5,251.5,109.5
15.5,2,219,208,61.5,164.5,94.5
21.5,2,86,97,20.5,576.5,613.5
39.5,2,207,162,121.5,314.5,140.5
5.5,2,159,208,90.5,338.5,458.5
5.5,2,148,83,17.5,379.5,203.5
25.5,72,152,146,52.5,176.5,103.5
18.5,20,94,81,45.5,154.5,90.5
59.5,53,445,126,26.5,169.5,61.5
40.5,114,328,263,97.5,463.5,185.5
5.5,37,180,167,231.5,418.5,193.5
22.5,90,168,290,131.5,178.5,51.5
31.5,28,398,98,159.5,282.5,154.5
5.5,18,52,47,72.5,128.5,64.5
47.5,96,288,227,43.5,108.5,136.5
93.5,138,278,241,85.5,260.5,113.5
45.5,43,123,49,67.5,76.5,38.5
