"Government","Private company","Non-profit organization including tax exempt and charitable organizations","Self-employed","Working in a family business"
185,1499,27,70,0.5
20,415,1,61,0.5
47,743,16,25,0.5
166,626,47,2,0.5
36,519,1,38,0.5
81,193,25,86,0.5
3,409,54,2,0.5
111,675,15,20,0.5
104,556,1,34,0.5
32,328,40,43,0.5
53,531,61,36,0.5
77,1254,1,2,0.5
111,734,67,26,0.5
18,140,1,33,0.5
128,649,16,141,0.5
44,308,1,24,0.5
78,736,59,45,0.5
104,760,63,65,26.5
101,78,66,10,0.5
261,591,553,7,0.5
107,740,330,64,9.5
106,330,74,30,0.5
126,332,60,121,0.5
27,733,27,6,0.5
52,462,1,117,0.5
3,853,1,2,0.5
121,741,168,101,0.5
3,666,34,22,0.5
138,472,1,37,0.5
142,968,1,50,0.5
137,755,137,22,0.5
59,568,13,2,0.5
47,873,68,38,0.5
24,472,1,32,0.5
83,841,99,80,0.5
3,502,1,79,0.5
64,449,36,30,0.5
123,1001,45,103,0.5
14,574,84,81,0.5
71,310,51,41,0.5
40,1169,51,34,0.5
3,342,1,98,0.5
282,914,102,87,0.5
99,702,180,28,0.5
143,763,547,2,0.5
123,406,400,171,0.5
62,140,1,35,52.5
46,383,23,8,0.5
25,519,89,2,0.5
31,134,30,71,0.5
154,457,194,17,0.5
165,889,69,85,0.5
68,384,11,29,0.5
225,603,126,48,0.5
138,586,50,11,0.5
189,488,32,27,0.5
158,620,77,93,0.5
224,559,82,77,0.5
230,501,1,2,0.5
124,359,169,15,0.5
94,375,1,220,0.5
262,1124,197,67,0.5
108,305,114,32,0.5
75,310,38,69,6.5
3,579,54,2,0.5
79,488,53,144,0.5
47,414,11,205,0.5
419,713,114,103,0.5
10,141,26,47,0.5
261,949,30,76,0.5
266,1092,78,156,0.5
368,754,85,17,0.5
180,440,6,78,0.5
3,1,1,2,0.5
34,131,1,11,0.5
152,308,52,90,0.5
157,563,24,57,0.5
68,292,53,59,0.5
74,489,31,2,0.5
423,516,59,28,0.5
3,467,17,15,0.5
114,319,47,46,1.5
175,525,37,96,0.5
184,404,31,165,0.5
79,592,26,29,0.5
39,475,130,19,0.5
209,719,62,53,0.5
103,312,104,93,0.5
66,364,48,63,0.5
178,529,22,214,0.5
336,674,11,112,6.5
217,1037,112,104,26.5
115,327,38,79,0.5
173,971,182,136,7.5
108,344,76,138,0.5
159,718,62,122,0.5
181,664,75,75,0.5
115,450,34,22,0.5
114,431,27,72,0.5
155,1058,110,147,0.5
179,664,40,55,0.5
277,638,32,111,0.5
71,603,35,2,0.5
108,261,1,12,0.5
128,218,25,45,0.5
80,629,56,28,0.5
95,621,67,179,0.5
67,310,1,108,0.5
130,472,19,38,0.5
86,310,1,106,0.5
144,418,39,58,0.5
60,342,1,2,0.5
22,225,9,78,0.5
41,356,23,40,0.5
93,512,29,2,0.5
104,454,96,20,0.5
169,441,16,117,0.5
151,547,62,80,0.5
275,982,72,172,0.5
225,768,13,48,0.5
20,249,50,46,0.5
67,319,27,17,0.5
89,433,2,9,0.5
139,529,121,79,0.5
212,504,28,55,0.5
66,834,39,37,0.5
3,99,1,48,0.5
58,1613,145,180,0.5
95,381,1,27,0.5
332,942,62,176,0.5
69,263,61,70,0.5
93,803,29,72,0.5
140,1048,55,89,0.5
71,514,65,17,0.5
140,445,12,91,0.5
232,836,33,44,0.5
128,696,37,86,0.5
220,535,38,21,0.5
87,919,1,46,0.5
44,695,64,205,0.5
133,760,21,11,0.5
157,203,1,139,0.5
32,262,7,2,0.5
218,298,31,16,0.5
228,521,42,65,0.5
63,425,1,28,0.5
177,568,67,119,0.5
64,218,1,11,0.5
83,388,3,35,0.5
201,582,80,2,0.5
38,693,21,16,0.5
57,585,38,44,0.5
125,190,1,33,0.5
149,629,107,24,0.5
249,1119,77,112,0.5
62,727,49,119,0.5
186,723,169,101,0.5
189,609,184,156,0.5
115,514,166,64,0.5
158,423,6,11,0.5
106,501,44,57,0.5
68,697,114,37,0.5
105,383,42,22,0.5
84,326,59,17,0.5
74,278,58,92,0.5
147,1036,60,197,0.5
145,1068,52,135,0.5
68,419,11,2,0.5
211,614,89,13,0.5
173,345,1,25,0.5
174,458,54,49,0.5
168,1163,80,46,0.5
75,516,22,95,0.5
113,415,24,8,0.5
120,520,33,51,0.5
149,412,34,57,0.5
105,956,35,103,9.5
112,1019,116,100,0.5
69,1069,67,98,0.5
259,710,36,80,0.5
115,635,50,70,0.5
180,851,22,58,0.5
51,250,39,37,0.5
114,526,1,49,0.5
153,1145,109,106,0.5
104,383,84,2,0.5
253,616,97,52,0.5
3,123,73,2,0.5
87,696,23,29,0.5
225,489,152,68,0.5
74,429,42,32,0.5
523,694,44,76,0.5
3,140,1,2,0.5
12,922,223,39,0.5
14,159,1,12,0.5
53,401,46,62,0.5
17,294,11,2,0.5
98,408,36,23,0.5
154,469,80,88,0.5
135,289,1,31,0.5
331,950,60,73,0.5
141,629,46,76,0.5
71,346,17,2,0.5
49,287,14,35,0.5
71,524,1,29,0.5
37,245,1,2,0.5
3,30,1,16,0.5
3,148,23,25,0.5
71,224,71,30,0.5
19,139,48,12,0.5
35,366,26,2,0.5
21,71,1,17,0.5
3,243,14,2,0.5
37,100,1,2,0.5
30,113,55,18,0.5
3,62,1,2,0.5
57,147,8,8,0.5
34,243,15,36,0.5
255,505,29,58,0.5
188,469,19,44,0.5
58,282,33,20,0.5
176,671,63,87,0.5
72,1041,40,57,0.5
96,981,54,56,0.5
87,545,22,44,0.5
72,1015,30,168,0.5
347,962,50,32,14.5
139,798,41,38,0.5
210,841,1,133,0.5
153,275,22,95,0.5
99,162,160,244,0.5
128,913,1,53,0.5
113,175,1,80,0.5
126,736,24,32,0.5
194,1441,16,70,0.5
66,310,11,2,0.5
175,990,47,2,0.5
338,1120,21,35,0.5
60,476,32,106,0.5
41,642,46,64,0.5
104,647,45,89,0.5
302,1014,80,67,0.5
129,511,11,23,0.5
171,269,75,11,0.5
103,704,98,28,0.5
262,1282,301,65,0.5
202,938,57,91,0.5
75,287,41,44,0.5
154,363,24,28,0.5
13,829,10,64,0.5
154,1318,147,161,0.5
32,260,13,42,0.5
84,674,1,105,0.5
72,763,115,125,0.5
82,611,88,156,0.5
3,15,26,2,0.5
91,380,215,88,0.5
148,901,39,253,0.5
92,638,146,68,0.5
152,509,91,151,0.5
201,548,1,21,0.5
159,442,52,41,0.5
79,776,12,74,0.5
193,1129,30,115,0.5
220,711,65,40,0.5
67,516,102,201,0.5
91,986,107,211,0.5
22,112,28,6,0.5
64,500,1,10,0.5
151,667,80,79,0.5
103,1191,128,498,0.5
69,390,1,2,0.5
150,460,98,2,0.5
50,473,103,110,0.5
26,993,257,43,0.5
52,553,37,10,0.5
40,656,49,41,0.5
20,228,16,22,0.5
179,703,45,90,0.5
111,883,96,43,0.5
176,912,132,187,0.5
111,440,12,117,0.5
9,8,1,8,0.5
61,267,124,25,0.5
65,502,828,2,0.5
89,188,26,48,0.5
3,74,1,2,0.5
58,656,32,44,0.5
37,630,128,80,0.5
93,568,26,146,0.5
131,422,46,26,0.5
79,586,49,69,0.5
82,492,54,42,0.5
27,559,67,195,0.5
51,1,49,2,0.5
17,219,1,38,0.5
102,247,1,2,0.5
69,125,125,2,0.5
207,736,90,153,0.5
201,745,70,192,0.5
101,192,96,2,0.5
21,239,18,51,0.5
39,808,111,37,0.5
13,12,1,2,0.5
168,943,1465,2,0.5
