"","Male","Female"
"289",549.5,317.5
"290",419.5,481.5
"291",809.5,692.5
"292",701.5,629.5
"293",418.5,436.5
"294",757.5,570.5
"295",331.5,252.5
"296",557.5,599.5
"297",380.5,284.5
"298",499.5,468.5
"299",752.5,855.5
"300",462.5,449.5
"301",470.5,319.5
"302",683.5,689.5
"303",282.5,338.5
"304",919.5,802.5
"305",462.5,623.5
"306",438.5,425.5
"307",424.5,320.5
"308",287.5,310.5
"309",292.5,188.5
"310",421.5,469.5
"311",128.5,148.5
"312",525.5,530.5
"313",638.5,612.5
"314",320.5,316.5
"315",482.5,669.5
"316",434.5,456.5
"317",463.5,474.5
"318",587.5,660.5
"319",659.5,630.5
"320",465.5,441.5
"321",626.5,693.5
"322",549.5,380.5
"323",983.5,1264.5
"324",415.5,408.5
"325",392.5,364.5
"326",312.5,438.5
"327",510.5,556.5
"328",408.5,435.5
"329",878.5,786.5
"330",58.5,171.5
"331",664.5,852.5
"332",897.5,918.5
"333",784.5,878.5
"334",439.5,420.5
"335",403.5,34.5
"336",408.5,288.5
"337",352.5,374.5
"338",360.5,514.5
"339",287.5,307.5
"340",399.5,445.5
"341",533.5,687.5
"342",239.5,389.5
"343",379.5,399.5
"344",516.5,572.5
"345",506.5,574.5
"346",549.5,514.5
"347",478.5,446.5
"348",711.5,749.5
"349",416.5,472.5
"350",434.5,424.5
"351",667.5,977.5
"352",851.5,901.5
"353",829.5,852.5
"354",435.5,408.5
"355",935.5,1055.5
"356",442.5,401.5
"357",586.5,599.5
"358",610.5,548.5
"359",452.5,432.5
"360",475.5,503.5
"361",792.5,1017.5
"362",577.5,570.5
"363",742.5,660.5
"364",486.5,481.5
"365",244.5,270.5
"366",190.5,237.5
"367",544.5,503.5
"368",675.5,600.5
"369",455.5,322.5
"370",501.5,481.5
"371",303.5,253.5
"372",376.5,392.5
"373",280.5,121.5
"374",248.5,185.5
"375",448.5,388.5
"376",267.5,418.5
"377",305.5,406.5
"378",620.5,545.5
"379",681.5,734.5
"380",916.5,1057.5
"381",922.5,614.5
"382",309.5,211.5
"383",217.5,260.5
"384",269.5,339.5
"385",548.5,580.5
"386",579.5,574.5
"387",590.5,655.5
"388",85.5,79.5
"389",1217.5,1102.5
"390",290.5,348.5
"391",958.5,971.5
"392",249.5,212.5
"393",868.5,430.5
"394",599.5,850.5
"395",490.5,418.5
"396",497.5,422.5
"397",663.5,687.5
"398",611.5,676.5
"399",498.5,503.5
"400",793.5,801.5
"401",678.5,614.5
"402",545.5,492.5
"403",525.5,255.5
"404",189.5,214.5
"405",450.5,418.5
"406",569.5,631.5
"407",340.5,355.5
"408",444.5,651.5
"409",236.5,287.5
"410",379.5,365.5
"411",366.5,467.5
"412",331.5,566.5
"413",603.5,551.5
"414",340.5,285.5
"415",648.5,528.5
"416",1144.5,1055.5
"417",584.5,553.5
"418",746.5,875.5
"419",629.5,577.5
"420",660.5,578.5
"421",440.5,373.5
"422",500.5,597.5
"423",379.5,632.5
"424",289.5,312.5
"425",442.5,261.5
"426",283.5,253.5
"427",844.5,874.5
"428",927.5,724.5
"429",337.5,405.5
"430",565.5,723.5
"431",387.5,438.5
"432",447.5,458.5
"433",1000.5,845.5
"434",482.5,473.5
"435",353.5,411.5
"436",408.5,432.5
"437",497.5,496.5
"438",813.5,646.5
"439",835.5,997.5
"440",634.5,982.5
"441",605.5,725.5
"442",564.5,556.5
"443",743.5,882.5
"444",448.5,699.5
"445",477.5,397.5
"446",1008.5,878.5
"447",567.5,563.5
"448",472.5,769.5
"449",234.5,235.5
"450",426.5,568.5
"451",608.5,814.5
"452",374.5,371.5
"453",847.5,984.5
"454",154.5,196.5
"455",731.5,793.5
"456",290.5,197.5
"457",374.5,330.5
"458",215.5,284.5
"459",481.5,600.5
"460",493.5,447.5
"461",295.5,328.5
"462",809.5,1089.5
"463",524.5,580.5
"464",244.5,332.5
"465",402.5,647.5
"466",456.5,528.5
"467",487.5,569.5
"468",220.5,265.5
"469",357.5,362.5
"470",342.5,457.5
"471",375.5,567.5
"472",178.5,605.5
"473",354.5,498.5
"474",295.5,525.5
"475",88.5,145.5
"476",188.5,533.5
"477",16.5,149.5
"478",487.5,479.5
"479",462.5,745.5
"480",671.5,548.5
"481",479.5,464.5
"482",251.5,219.5
"483",602.5,560.5
"484",769.5,819.5
"485",746.5,570.5
"486",391.5,413.5
"487",834.5,838.5
"488",727.5,877.5
"489",527.5,601.5
"490",650.5,609.5
"491",395.5,369.5
"492",1049.5,1207.5
"493",747.5,483.5
"494",794.5,848.5
"495",668.5,748.5
"496",1120.5,1344.5
"497",292.5,171.5
"498",844.5,703.5
"499",841.5,957.5
"500",594.5,565.5
"501",464.5,470.5
"502",697.5,626.5
"503",871.5,999.5
"504",458.5,683.5
"505",343.5,329.5
"506",409.5,668.5
"507",947.5,1049.5
"508",762.5,706.5
"509",383.5,356.5
"510",347.5,358.5
"511",617.5,517.5
"512",1028.5,1149.5
"513",203.5,191.5
"514",615.5,507.5
"515",691.5,846.5
"516",497.5,525.5
"517",39.5,25.5
"518",582.5,787.5
"519",771.5,840.5
"520",700.5,647.5
"521",423.5,437.5
"522",564.5,591.5
"523",411.5,500.5
"524",533.5,630.5
"525",846.5,847.5
"526",626.5,540.5
"527",466.5,686.5
"528",913.5,913.5
"529",185.5,308.5
"530",392.5,229.5
"531",599.5,602.5
"532",1136.5,1160.5
"533",342.5,326.5
"534",395.5,475.5
"535",424.5,428.5
"536",1044.5,631.5
"537",507.5,499.5
"538",534.5,491.5
"539",201.5,181.5
"540",590.5,658.5
"541",683.5,764.5
"542",851.5,862.5
"543",516.5,585.5
"544",0.5,19.5
"545",274.5,359.5
